iter	Passed	Remaining
0	132	132479
1	273	136369
2	417	138869
3	668	166494
4	761	151462
5	870	144197
6	965	136989
7	1083	134389
8	1173	129215
9	1269	125695
10	1405	126331
11	1502	123715
12	1593	120957
13	1859	130959
14	2045	134316
15	2139	131575
16	2233	129164
17	2338	127589
18	2468	127433
19	2578	126356
20	2701	125957
21	2806	124773
22	2908	123533
23	3012	122520
24	3267	127414
25	3366	126115
26	3471	125099
27	3588	124583
28	3689	123523
29	3791	122598
30	3887	121507
31	3983	120513
32	4086	119737
33	4182	118845
34	4451	122741
35	4557	122047
36	4653	121125
37	4750	120275
38	4845	119403
39	4956	118966
40	5066	118496
41	5168	117881
42	5259	117054
43	5357	116410
44	5447	115610
45	5716	118557
46	5838	118386
47	5993	118873
48	6089	118195
49	6184	117501
50	6279	116840
51	6369	116124
52	6476	115722
53	6608	115776
54	6716	115397
55	6991	117862
56	7107	117580
57	7242	117622
58	7361	117402
59	7453	116776
60	7556	116318
61	7663	115944
62	7758	115392
63	7879	115231
64	7991	114953
65	8247	116710
66	8374	116618
67	8457	115914
68	8540	115240
69	8642	114818
70	8729	114222
71	8848	114045
72	8942	113561
73	9054	113309
74	9145	112794
75	9292	112980
76	9543	114395
77	9660	114190
78	9770	113908
79	9876	113580
80	9985	113287
81	10108	113170
82	10229	113015
83	10341	112767
84	10444	112427
85	10635	113029
86	10838	113739
87	11112	115163
88	11241	115067
89	11340	114664
90	11447	114346
91	11554	114042
92	11666	113779
93	11782	113564
94	12057	114863
95	12168	114590
96	12271	114235
97	12387	114019
98	12491	113684
99	12598	113388
100	12717	113200
101	12840	113045
102	12970	112956
103	13272	114344
104	13403	114249
105	13497	113834
106	13612	113604
107	13707	113216
108	13818	112959
109	13925	112671
110	14024	112323
111	14131	112039
112	14243	111804
113	14530	112928
114	14655	112784
115	14783	112660
116	14891	112389
117	14998	112107
118	15103	111819
119	15221	111623
120	15329	111361
121	15440	111123
122	15554	110905
123	15836	111880
124	15954	111682
125	16071	111477
126	16169	111146
127	16284	110937
128	16403	110753
129	16516	110530
130	16625	110285
131	16742	110092
132	16920	110302
133	17142	110786
134	17257	110574
135	17363	110307
136	17501	110244
137	17614	110026
138	17746	109926
139	17862	109728
140	17969	109471
141	18102	109377
142	18372	110104
143	18518	110082
144	18627	109839
145	18727	109540
146	18837	109311
147	18955	109120
148	19060	108859
149	19179	108685
150	19283	108420
151	19566	109158
152	19688	108994
153	19800	108776
154	19913	108563
155	20021	108322
156	20131	108093
157	20235	107836
158	20342	107600
159	20438	107300
160	20549	107088
161	20849	107849
162	21005	107860
163	21121	107668
164	21222	107399
165	21333	107182
166	21442	106957
167	21558	106764
168	21674	106575
169	21784	106359
170	22010	106707
171	22198	106862
172	22320	106700
173	22435	106504
174	22548	106301
175	22646	106028
176	22763	105845
177	22882	105671
178	22988	105438
179	23105	105260
180	24030	108733
181	24148	108534
182	24250	108264
183	24364	108049
184	24476	107830
185	24592	107626
186	24708	107422
187	24830	107247
188	24924	106949
189	25067	106866
190	25323	107262
191	25428	107013
192	25532	106761
193	25649	106566
194	25748	106294
195	25854	106057
196	25962	105828
197	26067	105588
198	26182	105387
199	26381	105526
200	26624	105835
201	26769	105753
202	26878	105526
203	27030	105470
204	27195	105466
205	27345	105398
206	27465	105219
207	27651	105287
208	27881	105522
209	28000	105335
210	28103	105087
211	28211	104860
212	28331	104680
213	28436	104445
214	28541	104207
215	28650	103990
216	28784	103862
217	29107	104413
218	29325	104582
219	29480	104522
220	29583	104279
221	29691	104054
222	29811	103872
223	29930	103688
224	30040	103473
225	30335	103893
226	30454	103704
227	30565	103495
228	30672	103269
229	30775	103029
230	30871	102771
231	30985	102571
232	31094	102358
233	31203	102144
234	31306	101911
235	31526	102060
236	31704	102069
237	31862	102014
238	31983	101839
239	32068	101549
240	32184	101360
241	32296	101161
242	32411	100968
243	32528	100785
244	32638	100578
245	32912	100877
246	33013	100642
247	33127	100450
248	33258	100309
249	33370	100111
250	33484	99920
251	33607	99755
252	33726	99578
253	33832	99366
254	33975	99260
255	34241	99512
256	34351	99311
257	34479	99162
258	34599	98988
