iter	F1	Logloss	F1:use_weights=true	F1:use_weights=false	Precision:use_weights=true	Precision:use_weights=false	Recall:use_weights=true	Recall:use_weights=false
0	0.8704159432	0.6887764283	0.8704159432	0.8704159432	0.8316791691	0.8316791691	0.9129374505	0.9129374505
1	0.8718018099	0.684449938	0.8718018099	0.8718018099	0.829742181	0.829742181	0.9183531275	0.9183531275
2	0.8708660705	0.6801642814	0.8708660705	0.8708660705	0.8312413634	0.8312413634	0.9144576405	0.9144576405
3	0.8704539622	0.6759183576	0.8704539622	0.8704539622	0.8316697438	0.8316697438	0.9130324624	0.9130324624
4	0.8705221684	0.6717720309	0.8705221684	0.8705221684	0.8316891658	0.8316891658	0.9131591449	0.9131591449
5	0.8704028021	0.667627926	0.8704028021	0.8704028021	0.8316551744	0.8316551744	0.9129374505	0.9129374505
6	0.8704749253	0.6635899244	0.8704749253	0.8704749253	0.8316554649	0.8316554649	0.9130958036	0.9130958036
7	0.8705338949	0.6593825391	0.8705338949	0.8705338949	0.8316317702	0.8316317702	0.9132541568	0.9132541568
8	0.8705470354	0.6551936505	0.8705470354	0.8705470354	0.8316557552	0.8316557552	0.9132541568	0.9132541568
9	0.8705679914	0.6510990449	0.8705679914	0.8705679914	0.8316414811	0.8316414811	0.913317498	0.913317498
10	0.8705168458	0.6470597492	0.8705168458	0.8705168458	0.8316269143	0.8316269143	0.9132224861	0.9132224861
11	0.8704827461	0.6430346612	0.8704827461	0.8704827461	0.8316172017	0.8316172017	0.9131591449	0.9131591449
12	0.868693839	0.6392746582	0.868693839	0.868693839	0.8252294362	0.8252294362	0.9169912906	0.9169912906
13	0.868048926	0.6353779653	0.868048926	0.868048926	0.82044269	0.82044269	0.92152019	0.92152019
14	0.8686808077	0.6315008927	0.8686808077	0.8686808077	0.8252059167	0.8252059167	0.9169912906	0.9169912906
15	0.8663864666	0.6277083953	0.8663864666	0.8663864666	0.8208718327	0.8208718327	0.9172446556	0.9172446556
16	0.8697222849	0.6239379227	0.8697222849	0.8697222849	0.8287435456	0.8287435456	0.9149643705	0.9149643705
17	0.8686768677	0.6202397654	0.8686768677	0.8686768677	0.8252244549	0.8252244549	0.91695962	0.91695962
18	0.8697262068	0.6165674421	0.8697262068	0.8697262068	0.8287246859	0.8287246859	0.9149960412	0.9149960412
19	0.8699743628	0.6129436471	0.8699743628	0.8699743628	0.8304016122	0.8304016122	0.9135075218	0.9135075218
20	0.8703801518	0.6093657787	0.8703801518	0.8703801518	0.8313249539	0.8313249539	0.9132858274	0.9132858274
21	0.8703801518	0.6058407015	0.8703801518	0.8703801518	0.8313249539	0.8313249539	0.9132858274	0.9132858274
22	0.8701580789	0.6023778736	0.8701580789	0.8701580789	0.8307364419	0.8307364419	0.9135075218	0.9135075218
23	0.8701002941	0.5989676757	0.8701002941	0.8701002941	0.8305787504	0.8305787504	0.913570863	0.913570863
24	0.8698166049	0.5956045068	0.8698166049	0.8698166049	0.8290708689	0.8290708689	0.9147743468	0.9147743468
25	0.8697942535	0.5922833241	0.8697942535	0.8697942535	0.8287443355	0.8287443355	0.9151227237	0.9151227237
26	0.8680718189	0.5889915285	0.8680718189	0.8680718189	0.8251848046	0.8251848046	0.9156611243	0.9156611243
27	0.8687186872	0.585765984	0.8687186872	0.8687186872	0.825197344	0.825197344	0.9170863025	0.9170863025
28	0.8697942535	0.5825570838	0.8697942535	0.8697942535	0.8287443355	0.8287443355	0.9151227237	0.9151227237
29	0.8697811625	0.5794109519	0.8697811625	0.8697811625	0.8287205667	0.8287205667	0.9151227237	0.9151227237
30	0.8698833271	0.5762761524	0.8698833271	0.8698833271	0.829010043	0.829010043	0.9149960412	0.9149960412
31	0.8697811625	0.5731968394	0.8697811625	0.8697811625	0.8287205667	0.8287205667	0.9151227237	0.9151227237
32	0.8667404174	0.5701746221	0.8667404174	0.8667404174	0.8208228332	0.8208228332	0.9180997625	0.9180997625
33	0.8712465123	0.5671710812	0.8712465123	0.8712465123	0.8316729053	0.8316729053	0.9147743468	0.9147743468
34	0.8706596043	0.5641967382	0.8706596043	0.8706596043	0.8315461778	0.8315461778	0.9136342043	0.9136342043
35	0.8712017252	0.5613940152	0.8712017252	0.8712017252	0.8315389487	0.8315389487	0.914837688	0.914837688
36	0.8706596043	0.5585005848	0.8706596043	0.8706596043	0.8315461778	0.8315461778	0.9136342043	0.9136342043
37	0.8708509354	0.5556730231	0.8708509354	0.8708509354	0.8315804639	0.8315804639	0.9140142518	0.9140142518
38	0.8712017252	0.5528788603	0.8712017252	0.8712017252	0.8315389487	0.8315389487	0.914837688	0.914837688
39	0.8715420681	0.5501238261	0.8715420681	0.8715420681	0.8316358824	0.8316358824	0.9154711006	0.9154711006
40	0.8714632418	0.5474081556	0.8714632418	0.8714632418	0.8314923484	0.8314923484	0.9154711006	0.9154711006
41	0.8708889023	0.5447027576	0.8708889023	0.8708889023	0.8315710623	0.8315710623	0.9141092637	0.9141092637
42	0.8715420681	0.5420272582	0.8715420681	0.8715420681	0.8316358824	0.8316358824	0.9154711006	0.9154711006
43	0.8728514068	0.5394140701	0.8728514068	0.8728514068	0.8310234236	0.8310234236	0.9191132225	0.9191132225
