iter	Passed	Remaining
0	152	152216
1	290	145000
2	428	142422
3	552	137524
4	656	130609
5	787	130516
6	881	125086
7	1024	127000
8	1156	127349
9	1261	124892
10	1360	122355
11	1475	121478
12	1577	119788
13	1692	119223
14	1795	117921
15	1900	116907
16	2001	115711
17	2133	116398
18	2239	115638
19	2345	114914
20	2455	114488
21	2571	114297
22	2670	113452
23	2783	113213
24	2875	112142
25	2981	111687
26	3074	110782
27	3189	110719
28	3286	110036
29	3392	109680
30	3497	109309
31	3589	108579
32	3695	108284
33	3791	107710
34	3886	107154
35	3987	106788
36	4114	107099
37	4215	106730
38	4319	106438
39	4414	105956
40	4516	105644
41	4630	105610
42	4744	105599
43	4841	105187
44	4937	104775
45	5035	104422
46	5136	104148
47	5232	103777
48	5338	103605
49	5432	103221
50	5540	103095
51	5634	102723
52	5732	102422
53	5829	102122
54	5921	101748
55	6021	101506
56	6119	101245
57	6224	101089
58	6319	100783
59	6430	100739
60	6530	100525
61	6632	100340
62	6732	100139
63	6831	99908
64	6940	99834
65	7045	99705
66	7144	99491
67	7237	99196
68	7329	98893
69	7449	98969
70	7551	98810
71	7675	98923
72	7795	98993
73	7913	99024
74	8022	98946
75	8132	98876
76	8232	98681
77	8341	98595
78	8443	98430
79	8541	98228
80	8650	98148
81	8764	98116
82	8873	98035
83	8975	97870
84	9082	97772
85	9193	97712
86	9297	97568
87	9398	97399
88	9516	97414
89	9614	97215
90	9739	97285
91	9842	97138
92	9946	97005
93	10062	96984
94	10167	96859
95	10307	97059
96	10434	97138
97	10542	97034
98	10636	96806
99	10745	96708
100	10878	96831
101	10995	96800
102	11116	96814
103	11225	96711
104	11358	96815
105	11473	96770
106	11580	96648
107	11702	96651
108	11809	96536
109	11906	96337
110	12006	96161
111	12120	96098
112	12219	95919
113	12348	95973
114	12460	95893
115	12577	95845
116	12678	95685
117	12793	95627
118	12910	95580
119	13030	95555
120	13133	95407
121	13236	95259
122	13354	95221
123	13466	95136
124	13569	94984
125	13686	94939
126	13818	94988
127	13994	95338
128	14118	95325
129	14236	95273
130	14354	95222
131	14471	95163
132	14579	95041
133	14705	95035
134	14832	95040
135	14955	95013
136	15073	94954
137	15182	94838
138	15302	94787
139	15411	94669
140	15518	94541
141	15622	94397
142	15736	94306
143	15857	94263
144	15975	94201
145	16084	94084
146	16211	94071
147	16332	94024
148	16461	94018
149	16575	93925
150	16682	93795
151	16784	93639
152	16894	93525
153	17019	93494
154	17128	93378
155	17229	93215
156	17340	93107
157	17448	92983
158	17570	92937
159	17681	92827
160	17809	92806
161	17921	92703
162	18056	92717
163	18170	92627
164	18286	92542
165	18400	92445
166	18514	92348
167	18635	92289
168	18747	92186
169	18864	92102
