iter	F1	Logloss	F1:use_weights=true	F1:use_weights=false	Precision:use_weights=true	Precision:use_weights=false	Recall:use_weights=true	Recall:use_weights=false
0	0.8721534821	0.6887315372	0.8721534821	0.8721534821	0.8319914889	0.8319914889	0.9163895487	0.9163895487
1	0.8720476298	0.6843983465	0.8720476298	0.8720476298	0.8319815933	0.8319815933	0.9161678543	0.9161678543
2	0.8720553437	0.6800944227	0.8720553437	0.8720553437	0.831943406	0.831943406	0.9162311956	0.9162311956
3	0.8721063419	0.6758336372	0.8721063419	0.8721063419	0.8319579032	0.8319579032	0.9163262074	0.9163262074
4	0.8724106242	0.6716739283	0.8724106242	0.8724106242	0.8319636802	0.8319636802	0.9169912906	0.9169912906
5	0.872308689	0.6675169045	0.872308689	0.872308689	0.8319347051	0.8319347051	0.9168012668	0.9168012668
6	0.8726079166	0.6635050825	0.8726079166	0.8726079166	0.8316973767	0.8316973767	0.9177513856	0.9177513856
7	0.8723596589	0.6594548599	0.8723596589	0.8723596589	0.8319491939	0.8319491939	0.9168962787	0.9168962787
8	0.8724144684	0.6552806499	0.8724144684	0.8724144684	0.8319446041	0.8319446041	0.9170229612	0.9170229612
9	0.8724314553	0.6511688711	0.8724314553	0.8724314553	0.8319494326	0.8319494326	0.9170546318	0.9170546318
10	0.872346516	0.6470998566	0.872346516	0.872346516	0.8319252874	0.8319252874	0.9168962787	0.9168962787
11	0.8719139059	0.6430961301	0.8719139059	0.8719139059	0.8318426275	0.8318426275	0.9160411718	0.9160411718
12	0.8723635049	0.639168172	0.8723635049	0.8723635049	0.831930117	0.831930117	0.9169279493	0.9169279493
13	0.8712898166	0.635390489	0.8712898166	0.8712898166	0.8317256472	0.8317256472	0.9148060174	0.9148060174
14	0.8713068396	0.6315215226	0.8713068396	0.8713068396	0.8317304924	0.8317304924	0.914837688	0.914837688
15	0.8713579055	0.6278493601	0.8713579055	0.8713579055	0.8317450263	0.8317450263	0.9149326999	0.9149326999
16	0.8712898166	0.6240947308	0.8712898166	0.8712898166	0.8317256472	0.8317256472	0.9148060174	0.9148060174
17	0.8713238621	0.6203835523	0.8713238621	0.8713238621	0.8317353373	0.8317353373	0.9148693587	0.9148693587
18	0.8713107213	0.6167146978	0.8713107213	0.8713107213	0.8317113901	0.8317113901	0.9148693587	0.9148693587
19	0.8713107213	0.6131249175	0.8713107213	0.8713107213	0.8317113901	0.8317113901	0.9148693587	0.9148693587
20	0.8713447647	0.6096940672	0.8713447647	0.8713447647	0.8317210802	0.8317210802	0.9149326999	0.9149326999
21	0.871348645	0.6062034992	0.871348645	0.871348645	0.8317019807	0.8317019807	0.9149643705	0.9149643705
22	0.8713525251	0.602927793	0.8713525251	0.8713525251	0.8316828833	0.8316828833	0.9149960412	0.9149960412
