iter	Passed	Remaining
399	53495	80243
400	53609	80079
401	53738	79939
402	53883	79823
403	54040	79723
404	54176	79592
405	54327	79484
406	54478	79375
407	54614	79244
408	54759	79126
409	54911	79019
410	55085	78942
411	55222	78812
412	55349	78668
413	55512	78575
414	55655	78453
415	55790	78320
416	55948	78219
417	56115	78132
418	56267	78022
419	56426	77922
420	56573	77805
421	56717	77684
422	56846	77542
423	56995	77427
424	57154	77326
425	57271	77169
426	57393	77017
427	57520	76872
428	57647	76729
429	57782	76594
430	57909	76451
431	58045	76319
432	58196	76207
433	58326	76066
434	58497	75979
435	58628	75840
436	58769	75714
437	58914	75593
438	59055	75466
439	59207	75354
440	59353	75235
441	59486	75097
442	59617	74958
443	59733	74801
444	59868	74667
445	59994	74522
446	60158	74424
447	60331	74336
448	60479	74219
449	60620	74091
450	60780	73987
451	60924	73863
452	61060	73730
453	61208	73611
454	61358	73495
455	61500	73369
456	61636	73236
457	61786	73118
458	61929	72993
459	62083	72880
460	62221	72748
461	62395	72659
462	62528	72522
463	62673	72398
464	62830	72288
465	63032	72230
466	63173	72101
467	63303	71960
468	63461	71851
469	63588	71705
470	63724	71571
471	63888	71468
472	64039	71350
473	64196	71239
474	64354	71128
475	64528	71036
476	64671	70907
477	64803	70768
478	64955	70650
479	65088	70512
480	65218	70370
481	65343	70224
482	65494	70105
483	65630	69970
484	65760	69827
485	65894	69691
486	66022	69547
487	66175	69430
488	66308	69291
489	66455	69168
490	67290	69757
491	67425	69617
492	67557	69475
493	67688	69333
494	67841	69212
495	67978	69074
496	68117	68939
497	68246	68794
498	68399	68673
499	68540	68540
500	68683	68409
501	68830	68282
502	68969	68146
503	69110	68013
504	69240	67869
505	69439	67792
506	69581	67659
507	69721	67525
508	69875	67404
509	70020	67274
510	70158	67137
511	70300	67005
512	70469	66898
513	70611	66764
514	70751	66629
515	70893	66496
516	71030	66359
517	71170	66224
518	71301	66081
519	71479	65980
520	71625	65851
521	71757	65708
522	71904	65580
523	72058	65457
524	72189	65314
525	72322	65172
526	72468	65042
527	72642	64938
528	72794	64813
529	72946	64688
530	73081	64548
531	73212	64405
532	73356	64272
533	73473	64117
534	73634	63999
535	73763	63854
536	73887	63705
537	74028	63571
538	74149	63419
539	74284	63279
540	74405	63127
541	74535	62983
542	74734	62898
543	74874	62762
544	75014	62626
545	75171	62505
546	75335	62389
547	75466	62246
548	75601	62106
549	75767	61991
550	75905	61854
551	76034	61709
552	76215	61606
553	76363	61476
554	76496	61334
555	76629	61193
556	76796	61078
557	76944	60948
558	77085	60813
559	77252	60698
560	77392	60561
561	77543	60434
562	77678	60294
563	77829	60166
564	78019	60068
565	78163	59934
566	78304	59798
567	78457	59672
568	78588	59528
569	78724	59388
570	78851	59242
571	79033	59136
572	79166	58994
573	79302	58854
574	79432	58711
575	79631	58617
576	79780	58486
577	79918	58348
578	80101	58243
579	80266	58124
580	80402	57983
581	80555	57855
582	80693	57717
583	80828	57576
584	80978	57445
585	81172	57346
586	81305	57204
587	81440	57063
588	81589	56932
589	81715	56785
590	81847	56642
591	81967	56491
592	82085	56338
593	82232	56205
594	82347	56051
595	82472	55904
596	82609	55764
597	82723	55610
598	82860	55470
599	82986	55324
600	83111	55177
601	83281	55060
602	83419	54921
603	83554	54780
604	83709	54653
605	83844	54512
606	83955	54356
607	84089	54215
608	84243	54087
609	84383	53949
610	84553	53831
611	84685	53689
612	84829	53554
613	84967	53416
614	85100	53274
615	85243	53138
616	85420	53024
617	85563	52888
618	85711	52756
619	85853	52619
620	86016	52496
621	86129	52342
622	86263	52201
623	86428	52078
624	86572	51943
625	86712	51805
626	86829	51654
627	86981	51524
628	87117	51383
629	87251	51243
630	87389	51104
631	87573	50992
632	87718	50857
633	87855	50717
634	87975	50568
635	88105	50425
636	88281	50307
637	88403	50159
638	88539	50019
639	88691	49888
640	88830	49750
641	88963	49609
642	89121	49481
643	89247	49335
644	89390	49199
645	89545	49069
646	89726	48954
647	89870	48818
648	90014	48682
649	90162	48548
650	90304	48412
651	90427	48265
652	90554	48119
653	90679	47974
654	90853	47853
655	90974	47706
656	91099	47560
657	91240	47422
658	91449	47320
659	91576	47175
660	91707	47033
661	91879	46911
662	92022	46774
663	92155	46632
664	92303	46498
665	92452	46364
666	92595	46228
667	92709	46076
668	92864	45946
669	93008	45810
670	93141	45668
671	93285	45532
672	93434	45398
673	93587	45266
674	93714	45121
675	93847	44979
676	94042	44868
677	94205	44740
678	94342	44600
679	94462	44453
680	94652	44337
681	94789	44197
682	94935	44062
683	95132	43950
684	95275	43812
685	95442	43686
686	95571	43542
687	95695	43396
688	95836	43258
689	95987	43124
690	96120	42982
691	96273	42850
692	96405	42707
693	96545	42569
694	96709	42441
695	96853	42303
696	96977	42158
697	97145	42031
698	97319	41907
699	97463	41770
700	97601	41630
701	97745	41493
702	97876	41350
703	98019	41212
704	98165	41076
705	98329	40947
706	98475	40810
707	98610	40670
708	98748	40530
709	98892	40392
710	99051	40261
711	99167	40112
712	99304	39972
713	99480	39847
714	99614	39706
715	99739	39561
716	99876	39421
717	100010	39280
718	100150	39140
719	100286	39000
720	100418	38858
721	100704	38775
722	100847	38637
723	100973	38492
724	101101	38348
725	101226	38204
726	101365	38064
727	101527	37933
728	101706	37808
729	101839	37666
730	101993	37532
731	102138	37394
732	102279	37256
733	102417	37115
734	102557	36976
735	102739	36852
736	102873	36710
737	103019	36573
738	103156	36432
739	103282	36288
740	103432	36152
741	103570	36012
742	103773	35894
743	103897	35749
744	104039	35610
745	104167	35467
746	104315	35330
747	104458	35191
748	104624	35061
749	104760	34920
750	104958	34799
751	105095	34659
752	105243	34522
753	105435	34399
754	105575	34259
755	105710	34118
756	105863	33982
757	106027	33850
