iter	F1	Logloss	F1:use_weights=true	F1:use_weights=false	Precision:use_weights=true	Precision:use_weights=false	Recall:use_weights=true	Recall:use_weights=false
40	0.8730153349	0.5471106958	0.8730153349	0.8730153349	0.8326399517	0.8326399517	0.9175059382	0.9175059382
41	0.8730153349	0.5443894858	0.8730153349	0.8730153349	0.8326399517	0.8326399517	0.9175059382	0.9175059382
42	0.8730153349	0.5416950131	0.8730153349	0.8730153349	0.8326399517	0.8326399517	0.9175059382	0.9175059382
43	0.8730153349	0.5391582558	0.8730153349	0.8730153349	0.8326399517	0.8326399517	0.9175059382	0.9175059382
44	0.8730025992	0.5365568433	0.8730025992	0.8730025992	0.832636344	0.832636344	0.9174821853	0.9174821853
45	0.8729758743	0.5340200499	0.8729758743	0.8729758743	0.8325681647	0.8325681647	0.9175059382	0.9175059382
46	0.8729330442	0.5314784416	0.8729330442	0.8729330442	0.8321776208	0.8321776208	0.9178859857	0.9178859857
47	0.8729330442	0.5289493492	0.8729330442	0.8729330442	0.8321776208	0.8321776208	0.9178859857	0.9178859857
48	0.8729457741	0.5264656289	0.8729457741	0.8729457741	0.8321812348	0.8321812348	0.9179097387	0.9179097387
49	0.8729457741	0.5241091902	0.8729457741	0.8729457741	0.8321812348	0.8321812348	0.9179097387	0.9179097387
50	0.8729359145	0.5217198846	0.8729359145	0.8729359145	0.8321633145	0.8321633145	0.9179097387	0.9179097387
51	0.8738898356	0.5193096034	0.8738898356	0.8738898356	0.8324339432	0.8324339432	0.9196912114	0.9196912114
52	0.8738898356	0.5168997835	0.8738898356	0.8738898356	0.8324339432	0.8324339432	0.9196912114	0.9196912114
53	0.8738996976	0.5145737082	0.8738996976	0.8738996976	0.8324518404	0.8324518404	0.9196912114	0.9196912114
54	0.8738898356	0.5123232755	0.8738898356	0.8738898356	0.8324339432	0.8324339432	0.9196912114	0.9196912114
55	0.8738898356	0.51010353	0.8738898356	0.8738898356	0.8324339432	0.8324339432	0.9196912114	0.9196912114
56	0.8738898356	0.5078670162	0.8738898356	0.8738898356	0.8324339432	0.8324339432	0.9196912114	0.9196912114
57	0.8738996976	0.5056605118	0.8738996976	0.8738996976	0.8324518404	0.8324518404	0.9196912114	0.9196912114
58	0.8738996976	0.5035604349	0.8738996976	0.8738996976	0.8324518404	0.8324518404	0.9196912114	0.9196912114
59	0.8738996976	0.5015023748	0.8738996976	0.8738996976	0.8324518404	0.8324518404	0.9196912114	0.9196912114
60	0.8738869892	0.4993892122	0.8738869892	0.8738869892	0.8324482381	0.8324482381	0.9196674584	0.9196674584
61	0.8738996976	0.4973276446	0.8738996976	0.8738996976	0.8324518404	0.8324518404	0.9196912114	0.9196912114
62	0.8738869892	0.4952840227	0.8738869892	0.8738869892	0.8324482381	0.8324482381	0.9196674584	0.9196674584
63	0.8738869892	0.4932589166	0.8738869892	0.8738869892	0.8324482381	0.8324482381	0.9196674584	0.9196674584
64	0.8738869892	0.4912479837	0.8738869892	0.8738869892	0.8324482381	0.8324482381	0.9196674584	0.9196674584
65	0.8738869892	0.4892783363	0.8738869892	0.8738869892	0.8324482381	0.8324482381	0.9196674584	0.9196674584
66	0.8738335158	0.487377405	0.8738335158	0.8738335158	0.8323122891	0.8323122891	0.9197149644	0.9197149644
67	0.8738462233	0.4855129816	0.8738462233	0.8738462233	0.8323158936	0.8323158936	0.9197387173	0.9197387173
68	0.8738462233	0.4835863622	0.8738462233	0.8738462233	0.8323158936	0.8323158936	0.9197387173	0.9197387173
69	0.8738898356	0.4816876888	0.8738898356	0.8738898356	0.8324339432	0.8324339432	0.9196912114	0.9196912114
70	0.8738771273	0.4798649598	0.8738771273	0.8738771273	0.8324303406	0.8324303406	0.9196674584	0.9196674584
71	0.88239352	0.4778804312	0.88239352	0.88239352	0.8299773945	0.8299773945	0.9418764846	0.9418764846
72	0.8823909028	0.476041008	0.8823909028	0.8823909028	0.8299912086	0.8299912086	0.9418527316	0.9418527316
73	0.882116082	0.474254534	0.882116082	0.882116082	0.8295050416	0.8295050416	0.9418527316	0.9418527316
74	0.8823896011	0.472610571	0.8823896011	0.8823896011	0.8301365273	0.8301365273	0.9416627078	0.9416627078
75	0.8821933044	0.4708554862	0.8821933044	0.8821933044	0.8295126543	0.8295126543	0.9420190024	0.9420190024
76	0.8821736809	0.4690459303	0.8821736809	0.8821736809	0.8294779553	0.8294779553	0.9420190024	0.9420190024
77	0.8822129288	0.4673280836	0.8822129288	0.8822129288	0.8295473561	0.8295473561	0.9420190024	0.9420190024
78	0.8822129288	0.4656337681	0.8822129288	0.8822129288	0.8295473561	0.8295473561	0.9420190024	0.9420190024
79	0.8819676871	0.4640347016	0.8819676871	0.8819676871	0.8291137917	0.8291137917	0.9420190024	0.9420190024
80	0.8819801188	0.4620457168	0.8819801188	0.8819801188	0.8291173642	0.8291173642	0.9420427553	0.9420427553
81	0.8824924032	0.4604060739	0.8824924032	0.8824924032	0.8303554597	0.8303554597	0.9416152019	0.9416152019
82	0.8822298876	0.4587917599	0.8822298876	0.8822298876	0.8298723048	0.8298723048	0.9416389549	0.9416389549
83	0.8822298876	0.4571988121	0.8822298876	0.8822298876	0.8298723048	0.8298723048	0.9416389549	0.9416389549
84	0.8822298876	0.455652371	0.8822298876	0.8822298876	0.8298723048	0.8298723048	0.9416389549	0.9416389549
85	0.8823673433	0.4541003807	0.8823673433	0.8823673433	0.8301155876	0.8301155876	0.9416389549	0.9416389549
86	0.8826620355	0.4525831694	0.8826620355	0.8826620355	0.8306373884	0.8306373884	0.9416389549	0.9416389549
