iter	F1	Logloss	F1:use_weights=true	F1:use_weights=false	Precision:use_weights=true	Precision:use_weights=false	Recall:use_weights=true	Recall:use_weights=false
0	0.8736960939	0.6887270193	0.8736960939	0.8736960939	0.8325301205	0.8325301205	0.9191448931	0.9191448931
1	0.8736791402	0.6844354415	0.8736791402	0.8736791402	0.8325253163	0.8325253163	0.9191132225	0.9191132225
2	0.8689665472	0.6801987667	0.8689665472	0.8689665472	0.8221845415	0.8221845415	0.9213935075	0.9213935075
3	0.8737168488	0.6760953822	0.8737168488	0.8737168488	0.8325158477	0.8325158477	0.9192082344	0.9192082344
4	0.8737299998	0.6720263755	0.8737299998	0.8737299998	0.8325397281	0.8325397281	0.9192082344	0.9192082344
5	0.8737130471	0.6678016698	0.8737130471	0.8737130471	0.8325349244	0.8325349244	0.9191765637	0.9191765637
6	0.8737299998	0.6636239516	0.8737299998	0.8737299998	0.8325397281	0.8325397281	0.9192082344	0.9192082344
7	0.8737036981	0.6594938873	0.8737036981	0.8737036981	0.8324919688	0.8324919688	0.9192082344	0.9192082344
8	0.8737244514	0.655567157	0.8737244514	0.8737244514	0.832477701	0.832477701	0.9192715756	0.9192715756
9	0.873749003	0.6518977332	0.873749003	0.873749003	0.832444368	0.832444368	0.9193665875	0.9193665875
10	0.873749003	0.6478983757	0.873749003	0.873749003	0.832444368	0.832444368	0.9193665875	0.9193665875
11	0.8737791021	0.6440484469	0.8737791021	0.8737791021	0.8324730443	0.8324730443	0.9193982581	0.9193982581
12	0.8737659523	0.6402732262	0.8737659523	0.8737659523	0.8324491727	0.8324491727	0.9193982581	0.9193982581
13	0.8737659523	0.6363955604	0.8737659523	0.8737659523	0.8324491727	0.8324491727	0.9193982581	0.9193982581
14	0.8737791021	0.6326299002	0.8737791021	0.8737791021	0.8324730443	0.8324730443	0.9193982581	0.9193982581
15	0.8737829012	0.6288535534	0.8737829012	0.8737829012	0.8324539772	0.8324539772	0.9194299287	0.9194299287
16	0.8737697517	0.6251488481	0.8737697517	0.8737697517	0.8324301075	0.8324301075	0.9194299287	0.9194299287
17	0.8737791021	0.6214937018	0.8737791021	0.8737791021	0.8324730443	0.8324730443	0.9193982581	0.9193982581
18	0.8747070489	0.6181498649	0.8747070489	0.8747070489	0.8320329246	0.8320329246	0.9219952494	0.9219952494
19	0.874697673	0.614669805	0.874697673	0.874697673	0.8319901692	0.8319901692	0.92202692	0.92202692
20	0.8832932942	0.6113624285	0.8832932942	0.8832932942	0.8305306896	0.8305306896	0.9432145685	0.9432145685
21	0.8768251591	0.6078933649	0.8768251591	0.8768251591	0.8316761364	0.8316761364	0.9271575614	0.9271575614
22	0.8747014376	0.6046219312	0.8747014376	0.8747014376	0.8319711951	0.8319711951	0.9220585907	0.9220585907
23	0.8823703528	0.6012626804	0.8823703528	0.8823703528	0.8282165977	0.8282165977	0.944101346	0.944101346
24	0.8823964716	0.5979713084	0.8823964716	0.8823964716	0.8282626212	0.8282626212	0.944101346	0.944101346
25	0.8776857803	0.5946437805	0.8776857803	0.8776857803	0.8192850475	0.8192850475	0.9450514648	0.9450514648
26	0.8777517978	0.5913931303	0.8777517978	0.8777517978	0.8193048921	0.8193048921	0.9451781473	0.9451781473
27	0.8772934097	0.5882835484	0.8772934097	0.8772934097	0.8175352209	0.8175352209	0.9464766429	0.9464766429
28	0.8732974204	0.5850844711	0.8732974204	0.8732974204	0.8100422489	0.8100422489	0.9472684086	0.9472684086
29	0.8777223864	0.5819097205	0.8777223864	0.8777223864	0.8192774392	0.8192774392	0.9451464766	0.9451464766
30	0.8777352941	0.5787813467	0.8777352941	0.8777352941	0.8192999314	0.8192999314	0.9451464766	0.9451464766
31	0.8732645225	0.5757711752	0.8732645225	0.8732645225	0.8100319593	0.8100319593	0.9472050673	0.9472050673
32	0.8772898074	0.5727147492	0.8772898074	0.8772898074	0.8175525949	0.8175525949	0.9464449723	0.9464449723
33	0.8777352941	0.5698327891	0.8777352941	0.8777352941	0.8192999314	0.8192999314	0.9451464766	0.9451464766
34	0.8776857803	0.5668582431	0.8776857803	0.8776857803	0.8192850475	0.8192850475	0.9450514648	0.9450514648
35	0.8772934097	0.5638915361	0.8772934097	0.8772934097	0.8175352209	0.8175352209	0.9464766429	0.9464766429
36	0.8777517978	0.5609880325	0.8777517978	0.8777517978	0.8193048921	0.8193048921	0.9451781473	0.9451781473
37	0.8777812091	0.5582501319	0.8777812091	0.8777812091	0.819332345	0.819332345	0.9452098179	0.9452098179
38	0.8777446064	0.5554961078	0.8777446064	0.8777446064	0.8193399594	0.8193399594	0.945114806	0.945114806
39	0.8777647059	0.5526843826	0.8777647059	0.8777647059	0.819327385	0.819327385	0.9451781473	0.9451781473
40	0.877731698	0.5496800697	0.877731698	0.877731698	0.8193174642	0.8193174642	0.945114806	0.945114806
41	0.877731698	0.5468954851	0.877731698	0.877731698	0.8193174642	0.8193174642	0.945114806	0.945114806
42	0.87771879	0.5441484903	0.87771879	0.87771879	0.8192949703	0.8192949703	0.945114806	0.945114806
43	0.8833236956	0.5414435189	0.8833236956	0.8833236956	0.8304616929	0.8304616929	0.9433729216	0.9433729216
44	0.8833236956	0.5387524397	0.8833236956	0.8833236956	0.8304616929	0.8304616929	0.9433729216	0.9433729216
45	0.8788248973	0.5361680192	0.8788248973	0.8788248973	0.8209139903	0.8209139903	0.9455265241	0.9455265241
46	0.8788378323	0.5335121581	0.8788378323	0.8788378323	0.8209365634	0.8209365634	0.9455265241	0.9455265241
47	0.8828770164	0.5309209164	0.8828770164	0.8828770164	0.8286706487	0.8286706487	0.9446714173	0.9446714173
48	0.8832871187	0.5283252379	0.8832871187	0.8832871187	0.830470667	0.830470667	0.9432779097	0.9432779097
49	0.8832871187	0.5257855899	0.8832871187	0.8832871187	0.830470667	0.830470667	0.9432779097	0.9432779097
50	0.8832871187	0.5232650488	0.8832871187	0.8832871187	0.830470667	0.830470667	0.9432779097	0.9432779097
51	0.8832740214	0.520791466	0.8832740214	0.8832740214	0.8304475115	0.8304475115	0.9432779097	0.9432779097
52	0.8832871187	0.5183401631	0.8832871187	0.8832871187	0.830470667	0.830470667	0.9432779097	0.9432779097
53	0.8832871187	0.5160374387	0.8832871187	0.8832871187	0.830470667	0.830470667	0.9432779097	0.9432779097
54	0.8832409028	0.5135318043	0.8832409028	0.8832409028	0.8304380559	0.8304380559	0.9432145685	0.9432145685
55	0.8832409028	0.5111792344	0.8832409028	0.8832409028	0.8304380559	0.8304380559	0.9432145685	0.9432145685
56	0.8832409028	0.5088817811	0.8832409028	0.8832409028	0.8304380559	0.8304380559	0.9432145685	0.9432145685
57	0.8832767339	0.5066221236	0.8832767339	0.8832767339	0.8305259635	0.8305259635	0.9431828979	0.9431828979
58	0.8832732719	0.504385551	0.8832732719	0.8832732719	0.8305443998	0.8305443998	0.9431512272	0.9431512272
59	0.8832601732	0.502076918	0.8832601732	0.8832601732	0.8305212371	0.8305212371	0.9431512272	0.9431512272
60	0.883243612	0.4998517357	0.883243612	0.883243612	0.8305165105	0.8305165105	0.9431195566	0.9431195566
61	0.883243612	0.4977003395	0.883243612	0.883243612	0.8305165105	0.8305165105	0.9431195566	0.9431195566
62	0.8768530442	0.4955488961	0.8768530442	0.8768530442	0.8316243929	0.8316243929	0.9272842439	0.9272842439
